"","X","PROGRAM.TYPE","PROGRAM","SITE.NAME","BOROUGH...COMMUNITY","AGENCY","Contact.Number","Grade.Level...Age.Group","Location.1","Postcode","Latitude","Longitude"
"1017",1017,"NDA Programs,Senior Programs,Older Adult Program","Seniors","San Andres Church","Bronx","Mirabal Sisters Cultural and Community Center Office Space","(718) 542-0006","Seniors","351 Soundview Avenue",10473,40.813278,-73.857646
"1018",1018,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 86","Queens","Queens Community House, Inc","(718) 206-0517","Elementary","87 41 PARSONS BOULEVARD",11432,40.708898,-73.803938
"1019",1019,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 152 DYCKMAN VALLEY SCHOOL","Manhattan","The Childrens Aid Society","(212) 544-0221","Elementary","93 Nagle Avenue",10040,40.860412,-73.927936
"1020",1020,"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","Peter Cicchino Youth Project (PCYP)","Manhattan","Urban Justice Center","646-602-5633","20-May","123 William Street",10038,40.709112,-74.006889
"1021",1021,"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Northern Manhattan Improvement Corporation","New York","Vladeck Cares","(212) 822-8300","Adults","76 Wadsworth Avenue",10033,40.847012,-73.93704
"1022",1022,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","The Urban Assembly School for Law and Justice","Brooklyn","School for Democracy and Leadership","(212) 362-4020"," High School","283 Adams Street",11201,40.694682,-73.988853
"1023",1023,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","School for Democracy and Leadership","Brooklyn","Brooklyn College Arts Lab","(718) 287-2600"," High School","600 Kingston Avenue",11203,40.658893,-73.942458
"1024",1024,"After-School Programs,Summer Program,Summer Camp","Out of School Time","I.S. 171 ABRAHAM LINCOLN SCHOO","Brooklyn","Cypress Hills Local Development Corporation","(718) 235-1028","OST","528 Ridgewood Avenue",11208,40.68618,-73.869625
"1025",1025,"After-School Programs","Out of School Time","J.H.S. 126 JOHN ERICSSON JUNIO","Brooklyn","St. Nicholas Neighborhood Preservation Corporation","(718) 388-5585","Middle School","424 Leonard Street",11222,40.719819,-73.948625
"1026",1026,"NDA Programs,Senior Programs,Older Adult Program","Seniors","Homecrest Community Services, Inc.","Brooklyn","The Arab-American Family Support Center","(718) 376-4036","Seniors","1413 Avenue
T ",11229,40.60102,-73.957543
"1027",1027,"After-School Programs","Out of School Time","P.S. 214 CADWALLADER COLDEN SC","Queens","Police Athletic League, Inc.","(718) 353-8457","Elementary","31 15 140 STREET",11354,40.770387,-73.828617
"1028",1028,"NDA Programs,Senior Programs,Older Adult Program","Seniors","R.A.I.N. Eastchester Senior Center","Bronx","Mt. Ararat Presentation Senior Center","(718) 829-5520","Seniors","1236 Burke Avenue",10469,40.871148,-73.851491
"1029",1029,"After-School Programs","Out of School Time","P.S. 14 CORNELIUS VANDERBILT S","Staten Island","Police Athletic League, Inc.","(718) 981-3976","Elementary","100 Tompkins Avenue",10304,40.622455,-74.078508
"1030",1030,"After-School Programs","Out of School Time","CURTIS HS","Staten Island","Northfield Community LDC","(718) 442-7351","High School","105 Hamilton Avenue",10301,40.644735,-74.081222
"1031",1031,"After-School Programs","Out of School Time","Kips Bay Boys and Girls Club -","Bronx","Kips Bay Boys & Girls Club","(718) 828-4518","Elementary","625 Castle Hill Avenue",10473,40.819754,-73.848209
"1032",1032,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 123 SUYDAM SCHOOL","Brooklyn","Coalition for Hispanic Family Services","(718) 497-6090","OST","100 Irving Avenue",11237,40.703767,-73.922702
"1033",1033,"After-School Programs","Out of School Time","P.S. 327 DR. ROSE B. ENGLISH S","Brooklyn","YWCA of the City of New York (Main Branch)","(718) 495-7801","Elementary","111 Bristol Street",11212,40.668475,-73.912351
"1034",1034,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Franklin K. Lane High School - H.S. 420","Brooklyn","Cypress Hills Local Development Corporation","718.647.2800","High School","999 Jamaica Avenue",11208,40.691146,-73.868328
"1035",1035,"After-School Programs","Out of School Time","P.S. 88 SENECA SCHOOL","Queens","Greater Ridgewood Youth Council, Inc.","(718) 456-5437","Elementary","60 85 CATALPA AVENUE",11385,40.703779,-73.896374
"1036",1036,"After-School Programs","Out of School Time","St. John's Rec","Brooklyn","Brooklyn Center For Urban Environment","(718) 788-8500","Elem/MS","1251 Prospect Place",11213,40.673488,-73.9348
"1037",1037,"After-School Programs","Out of School Time","SAYA (H.S.)","Queens","South Asian Youth Action","(718) 651-3484","High School","54 05 Seabury Street",11373,40.735303,-73.877474
"1038",1038,"Family Support,NDA Programs"," Housing","Jay Harama Senior Center","Brooklyn","Harlem Justice Center","(718) 743-0575","Adults","2600 Ocean Avenue",11229,40.598158,-73.951186
"1039",1039,"After-School Programs","Out of School Time","I.S. 131 ALBERT EINSTEIN SCHOOL","Bronx","YMCA of Greater New York/Bronx","(718) 991-7490","Elem/MS/HS","885 Bolton Avenue",10473,40.823526,-73.859662
"1040",1040,"After-School Programs","Out of School Time","Be'er Hagolah","Brooklyn","Be'er Hagolah Institutes","(718) 642-6800","High School","671 Louisiana Avenue",11239,40.645638,-73.883643
"1041",1041,"After-School Programs","Out of School Time","National for Negro Women 1","Queens","National Council for Negro Women of Greater New York","(718) 657-8585","High School","114 02 Guy R Brewer Boulevard",11434,40.688615,-73.785593
"1042",1042,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","FREDERICK DOUGLASS ACADEMY (M499)","New York","Citizens Advice","(347) 417-8122"," High School","2581 7 AVENUE",10039,40.824319,-73.93712
"1043",1043,"Jobs & Internships","Young Adult Internship Program","Career Connections @ LaGuardia CC","Queens","Henkels & McCoy, Inc. ","718.482.5104","16 to 24","29 10 Thomson Avenue",11101,40.745216,-73.937602
"1044",1044,"Jobs & Internships,Youth Employment","Summer Youth Employment ","The Lucile Palmaro Clubhouse","Bronx","Kips Bay Boys & Girls Club","718-893-8600 x258/261","14 to 24","1930 Randall Avenue",10473,40.817841,-73.856704
"1045",1045,"After-School Programs","Out of School Time","P.S. 137 JOHN BERNSTEIN SCHOOL","Manhattan","University Settlement Society of New York, Inc","(646) 602-2140","Elementary","293 Broadway",10007,40.714879,-74.005732
"1046",1046,"After-School Programs","Teen Action Program","JHS 113/ OLD 294 Edmonds Center","Brooklyn","Directions For Our Youth, Inc.","212.362.4020","13 to 21","300 Adelphi Street",11205,40.688811,-73.971009
"1047",1047,"After-School Programs","Out of School Time","P.S. 8 ROBERT FULTON SCHOOL","Brooklyn","YMCA of Greater New York/Dodge YMCA","(718) 834-6722","Elementary","37 HICKS STREET",11201,40.70071,-73.993241
"1048",1048,"After-School Programs","Out of School Time","I.S. 14 SHELL BANK (Elem)","Brooklyn","YMCA of Greater New York/Flatbush Branch","(718) 469-8100","Elementary","2424 Batchelder Street",11235,40.593521,-73.937672
"1049",1049,"After-School Programs,Summer Program,Summer Camp","Out of School Time","51 AVENUE ACADEMY PATH TOQ877","Queens","Coalition for Hispanic Family Services","(347) 768-0241","OST","76 05 51 AVENUE",11373,40.73679,-73.887438
"1050",1050,"After-School Programs,Jobs & Internships,Youth Employment","Out-of-School Youth Employment (OSY)","Mosholu Montefiore Community Center, Inc.","Bronx","Mosholu Montefiore Community Center, Inc.","718.652.0470","16 to 21","3450 Dekalb Avenue",10467,40.881486,-73.881226
"1051",1051,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","THEATRE ARTS PRODUCTION COMPANY SCHOOL (X225)","Bronx","Sedgwick Houses","(212) 949-4919","Middle School","2225 WEBSTER AVENUE",10457,40.854493,-73.896717
"1052",1052,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","IS 171 - Abraham Lincoln School","Brooklyn","Cypress Hills Local Development Corporation","(718) 647-2800","16+","528 Ridgewood Avenue",11208,40.68618,-73.869625
"1053",1053,"Family Support,NDA Programs","Health Stat Initiative","Make the Road New York","Staten Island","Make the Road New York","347.547.5133","All Ages","479 Port Richmond Ave",10302,40.630818,-74.139187
"1054",1054,"NDA Programs,Senior Programs,Older Adult Program","Seniors","Tompkins Park Senior Center","Brooklyn","Queens Gateway to Health and Sciences Secondary School","(718) 345-5665","Seniors","550 Greene Avenue",11216,40.688666,-73.948775
"1055",1055,"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Refugee and Immigrant Services","Brooklyn","Harlem Commonwealth Council","(718) 777-6326","Adults","1222 Ave
M ",11230,40.617702,-73.962525
"1056",1056,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","St. Raymond Community Outreach","Bronx","Citizens Advice Bureau","(718) 824-0353"," High School","1720 Metropolitan Avenue",10462,40.840657,-73.85368
"1057",1057,"After-School Programs,Summer Program,Summer Camp","Out of School Time","M.S. 98 J.H.S. 98 - HERMAN RID","Bronx","The Childrens Aid Society","(718) 842-2760","Middle School","1619 Boston Road",10460,40.8359,-73.890458
"1058",1058,"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA CYPRESS HILLS HOUSES","Brooklyn","Police Athletic League @Cypress Hills Community Center","(718) 277-6641","6 and up","475 Fountain Avenue",11208,40.668288,-73.873005
"1059",1059,"After-School Programs","Out of School Time","Center for Alternative","Manhattan","Center for Alternative Sentencing and Employment Services","(212) 553-6650","High School","346 Broadway",10013,40.716696,-74.004163
"1060",1060,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Community Counseling 2","Brooklyn","Community Counseling and Mediation","(718) 230-5100","OST","810 Classon Avenue",11238,40.672776,-73.960846
"1061",1061,"NDA Programs,Senior Programs,Older Adult Program","Seniors","Carol Gardens","Bronx","Mirabal Sisters Cultural and Community Center Office Space","(718) 542-0006","Seniors","880 Thieriot Avenue",10473,40.823093,-73.862394
"1062",1062,"After-School Programs","Beacon","JHS 8","Queens","Southern Queens Park Association","718.276.4630 ext.15","6 and up","108 35 167th Street",11433,40.69719,-73.787192
"1063",1063,"After-School Programs,Summer Program,Summer Camp","Out of School Time","MIDDLE SCHOOL FOR ACADEMIC AN","Brooklyn","Brooklyn Bureau of Community Services","(646) 369-9430","Middle School","1224 Park Place",11213,40.672713,-73.936924
"1064",1064,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Our World Neighbor (Q706)","Queens","New York Junior Tennis League","(718) 392-3405","OST","36 12 35th Avenue",11106,40.75616,-73.92432
"1065",1065,"Jobs & Internships","Young Adult Internship Program","Vannguard Computer Center","Brooklyn","Vannguard Urban Improvement Assciation","718.735.4466","16 to 24","1477 Fulton Street",11216,40.68,-73.94221
"1066",1066,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Jacob A. Riis","Queens","Jacob A. Riis Neighborhood Settlement, Inc.","(718) 784-7447","OST","10 25 41st Avenue",11101,40.755488,-73.945328
"1067",1067,"Family Support,NDA Programs","Health Stat Initiative","Asian Americans for Equality","Queens","Asian Americans for Equality","718.961.0888","All Ages","95 05 Roosevelt Ave",11372,40.748936,-73.871635
"1068",1068,"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 225 - Eileen E Zaglin School","Brooklyn","Shorefront YM-YWHA","718-646-1444","A parent 16 Years Old or Older ","1075 Oceanview Avenue",11235,40.579737,-73.956329
"1069",1069,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Variety Boys & Girls Club of Queens","Queens","O'Dwyer Gardens","(718) 728-0946"," High School","21 12 30th Road",11102,40.768955,-73.928269
"1070",1070,"After-School Programs","Out of School Time","P.S. 19 ROBERTO CLEMENTE SCHOOL","Brooklyn","St. Nicholas Neighborhood Preservation Corporation","(718) 599-9224","Elementary","325 3rd Street",11215,40.673426,-73.984553
"1071",1071,"After-School Programs","Out of School Time","JHS 262 (Channel View)","Queens","New York Junior Tennis League","(347) 417-8182","Middle School","100 00 Beach Channel Drive",11694,40.586066,-73.822624
"1072",1072,"After-School Programs","Out of School Time","P.S. 139 ALEXINE A. FENTY SCHOOL","Brooklyn","CAMBA  ","(718) 693-3825","Elementary","330 Rugby Road",11226,40.641937,-73.965523
"1073",1073,"After-School Programs","Out of School Time","P.S./I.S. 175 CITY ISLAND SCHOOL","Bronx","Sports and Arts In Schools Foundation, Inc.","(718) 885-9607","Middle School","200 City Island Avenue",10464,40.843873,-73.785219
"1074",1074,"After-School Programs","Out of School Time","Jewish Institute (QNS)","Queens","Jewish Institute of Queens","(718) 426-9369","Middle School","60 05 Woodhaven Boulevard",11373,40.731256,-73.871561
"1075",1075,"After-School Programs","Out of School Time","J.H.S. 231 IS 231 MAGNETECH 20","Queens","Sports and Arts In Schools Foundation, Inc.","(718) 276-5140","Middle School","145 00 Springfield Boulevard",11413,40.664597,-73.758748
"1076",1076,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 133 WILLIAM BUTLER SCHOOL","Brooklyn","University Settlement Society of New York, Inc","(917) 337-3211","OST","375 BUTLER STREET",11217,40.679802,-73.980899
"1077",1077,"Immigration Services,Immigrant Support Services","Domestic Violence Program","Shorefront Y                                                                                                                                                                                                                                                   ","Brooklyn","New York Legal Assistance Group (NYLAG)","212.613.5000","Adult","3300 Coney Island Av",11235,40.575607,-73.959463
"1078",1078,"After-School Programs","Out of School Time","Green School","Brooklyn","St. Nicholas Neighborhood Preservation Corporation","(718) 599-9224","High School","223 Graham Avenue",11206,40.709941,-73.943641
"1079",1079,"After-School Programs","Out of School Time","P.S. 346 ABE STARK SCHOOL","Brooklyn","New York Junior Tennis League","(718) 642-6538","Elementary","1400 Pennsylvania Ave",11239,40.64726,-73.881114
"1080",1080,"NDA Programs,Senior Programs,Older Adult Program","Seniors","Concourse Gardens","Bronx","East New York Learning Center, Inc.","(718) 542-0006","Seniors","245 Echo Place",10457,40.849669,-73.904312
"1081",1081,"After-School Programs","Out of School Time","P.S. 57 HUBERT HUMPHREY SCHOOL","Staten Island","YMCA of Greater New York/Staten Island YMCA","(718) 556-5294","Elementary","140 Palma Drive",10304,40.611508,-74.083177
"1082",1082,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 30 P.S. 30","Queens","Safe Space","(646) 523-8616","OST","126 10 Bedell Street",11434,40.68031,-73.774432
"1083",1083,"After-School Programs","Out of School Time","I.S. 192 THE RENAISSANCE MIDDLE","Queens","Sports and Arts In Schools Foundation, Inc.","(646) 418-2038","Middle School","109 89 204 Street",11412,40.70646,-73.753579
